status,file_name,parameters,email,ip,length,num_dots,num_hyph,num_underline,num_slash,num_at_sign,num_plus,num_and,num_equal,num_question,protocol_http,protocol_https,subdomain_label,second_domain_label,top_domain_label
1,0,0,0,0,76,1,1,0,9,0,0,0,0,0,1,0,1535,4888,228
1,0,1,0,0,38,1,0,0,4,0,0,0,1,1,1,0,1535,815,110
1,1,1,0,0,83,3,1,0,7,0,0,0,1,1,1,0,2308,1126,266
0,1,0,0,0,49,2,0,0,5,0,0,0,0,0,1,0,2602,4544,136
1,0,0,0,0,32,2,0,0,4,0,0,0,0,0,1,0,2602,173,110
1,1,1,0,0,131,7,0,2,3,0,0,2,3,1,1,0,2245,4326,228
1,0,0,0,0,35,2,0,0,4,0,0,0,0,0,1,0,2602,970,195
1,0,0,0,0,17,1,0,0,3,0,0,0,0,0,0,1,1535,2477,212
0,1,0,0,0,64,2,3,0,4,0,0,0,0,0,0,1,2602,5295,110
0,0,0,0,0,29,2,0,0,3,0,0,0,0,0,0,1,2602,1489,110
0,1,0,0,0,44,2,0,1,4,0,0,0,0,0,0,1,843,5692,208
1,0,0,0,0,47,4,2,0,3,0,0,0,0,0,0,1,1214,427,110
1,0,0,0,0,31,2,0,0,2,0,0,0,0,0,1,0,2602,2649,195
0,1,0,0,0,59,2,4,0,4,0,0,0,0,0,1,0,2602,4709,110
1,0,0,0,0,29,2,0,0,2,0,0,0,0,0,1,0,2557,2727,110
0,0,0,0,0,23,1,0,0,3,0,0,0,0,0,0,1,1535,3510,201
0,0,0,0,0,28,2,0,0,3,0,0,0,0,0,0,1,1261,5656,110
0,1,0,0,0,43,2,2,0,3,0,0,0,0,0,0,1,2602,2144,110
0,1,0,0,0,76,3,3,0,3,0,0,0,0,0,1,0,2132,1040,110
1,0,0,0,0,20,1,0,0,3,0,0,0,0,0,1,0,1535,3870,283
1,0,0,0,0,28,2,0,0,3,0,0,0,0,0,0,1,2047,5319,110
0,0,0,0,0,25,2,0,0,3,0,0,0,0,0,1,0,2602,2281,208
0,0,0,0,0,21,2,0,0,3,0,0,0,0,0,0,1,2602,1518,110
1,1,0,0,0,47,3,0,0,4,0,0,0,0,0,0,1,2305,3872,266
1,1,0,0,0,77,1,0,0,5,0,0,0,0,0,1,0,1535,4604,110
0,0,0,0,0,19,2,0,0,2,0,0,0,0,0,1,0,252,1126,266
0,1,0,0,0,52,2,2,0,5,0,0,0,0,0,0,1,2602,650,110
1,0,0,0,0,26,2,0,0,2,0,0,0,0,0,1,0,1930,752,110
1,1,0,0,0,93,5,0,0,7,0,0,0,0,0,1,0,1535,1008,195
0,0,0,0,0,29,2,0,0,3,0,0,0,0,0,0,1,2602,4124,110
1,0,0,0,0,35,2,2,0,5,0,0,0,0,0,1,0,696,1126,266
0,1,0,0,0,66,2,0,4,4,0,0,0,0,0,0,1,843,5692,208
0,1,0,0,0,33,1,0,1,3,0,0,0,0,0,0,1,1535,5343,110
1,1,1,0,0,111,4,1,0,7,0,0,0,1,1,1,0,2308,1126,266
0,0,0,0,0,31,2,0,0,3,0,0,0,0,0,0,1,2602,5263,108
1,0,1,0,0,254,3,1,1,4,0,0,0,1,1,1,0,38,4860,110
0,1,0,0,0,72,3,2,4,5,0,0,0,0,0,0,1,2266,5375,110
0,0,0,0,0,18,1,0,0,2,0,0,0,0,0,1,0,1535,613,215
0,0,0,0,0,33,2,0,0,3,0,0,0,0,0,1,0,2602,1830,110
1,1,1,0,0,126,4,1,2,4,0,0,2,3,1,1,0,2244,1542,110
1,1,0,0,0,40,3,0,0,4,0,0,0,0,0,1,0,2602,2953,110
1,1,0,0,0,29,1,0,0,3,0,0,0,0,0,0,1,1535,840,110
0,1,0,0,0,64,2,3,0,5,0,0,0,0,0,0,1,2602,4144,110
0,1,0,0,0,53,2,0,1,4,0,0,0,0,0,0,1,843,5692,208
0,1,0,0,0,80,3,0,3,8,0,0,0,0,0,0,1,2602,3343,110
1,0,0,0,1,22,3,0,0,3,0,0,0,0,0,1,0,145,60,7
0,0,0,0,0,25,2,0,0,3,0,0,0,0,0,1,0,2602,4191,110
1,1,0,0,0,106,2,9,0,5,0,0,0,0,0,0,1,2340,2576,110
0,1,0,0,0,39,2,0,0,4,0,0,0,0,0,1,0,2602,141,110
0,1,0,0,0,56,2,0,0,3,0,2,0,0,0,1,0,2602,5113,110
1,0,0,0,0,65,2,0,0,8,0,0,0,0,0,1,0,2602,2717,110
1,1,0,0,0,89,3,1,0,10,0,0,0,0,0,0,1,2602,4005,125
1,0,1,0,0,163,1,1,1,8,0,0,2,4,1,0,1,1535,3953,195
1,1,0,0,0,52,3,0,0,6,0,0,0,0,0,1,0,372,1126,149
1,1,0,0,0,39,1,2,0,4,0,0,0,0,0,1,0,1535,4129,110
1,1,1,0,0,132,3,0,2,4,0,0,0,1,1,0,1,959,3777,110
1,0,0,0,0,63,3,0,0,7,0,0,0,0,0,1,0,2761,5727,214
1,0,0,0,0,28,2,0,0,5,0,0,0,0,0,1,0,2602,4729,219
1,0,0,0,0,43,3,1,0,6,0,0,0,0,0,1,0,2719,1126,165
1,0,0,0,0,42,1,0,0,5,0,0,0,0,0,1,0,1535,3451,110
1,1,0,0,0,34,2,2,0,3,0,0,0,0,0,0,1,1403,1162,154
1,1,0,0,0,51,5,0,0,4,0,0,0,0,0,1,0,2602,5877,110
